cluster	genes
chrN00250:clu_26162_-	ENSFALG00000000724
chrN00250:clu_26165_-	ENSFALG00000000724
chrN00251:clu_26211_+	NA
chrN00251:clu_26231_-	NA
chrN00261:clu_26403_-	NA
chrN00263:clu_26461_+	NA
chrN00270:clu_26557_-	ENSFALG00000011064
chrN00275:clu_26630_+	NA
chrN00279:clu_26709_+	ENSFALG00000003532
chrN00283:clu_26765_-	ENSFALG00000001152
chrN00287:clu_26806_+	ENSFALG00000002478
chrN00293:clu_26898_-	NA
chrN00296:clu_26946_+	ENSFALG00000000903
chrN00299:clu_27001_-	ENSFALG00000003654
chrN00300:clu_27018_+	ENSFALG00000001662
chrN00300:clu_27021_+	NA
chrN00301:clu_27025_-	ENSFALG00000024628
chrN00304:clu_27063_+	ENSFALG00000028422
chrN00310:clu_27125_-	NA
chrN00312:clu_27188_-	NA
chrN00314:clu_27211_-	NA
chrN00316:clu_27240_+	NA
chrN00319:clu_27266_+	NA
chrN00322:clu_27316_-	NA
chrN00330:clu_27379_+	NA
chrN00346:clu_27512_-	ENSFALG00000007637
chrN00362:clu_27665_+	NA
chrN00366:clu_27688_-	NA
chrN00369:clu_27710_+	ENSFALG00000010589
chrN00370:clu_28547_-	ENSFALG00000008074,ENSFALG00000008110
chrN00370:clu_28550_+	ENSFALG00000008053
chrN00370:clu_28553_+	ENSFALG00000008053
chrN00380:clu_27764_-	NA
chrN00385:clu_27796_-	ENSFALG00000010750
chrN00389:clu_27815_-	NA
chrN00399:clu_27833_-	NA
chrN00412:clu_27877_+	NA
chrN00412:clu_27884_+	NA
chrN00412:clu_27891_-	NA
chrN00412:clu_27893_-	NA
chrN00412:clu_27896_-	NA
chrN00415:clu_27909_-	NA
chrN00416:clu_27911_-	ENSFALG00000008807
chrN00454:clu_27994_+	NA
chrN00462:clu_28578_+	NA
chrN00474:clu_28042_-	ENSFALG00000010121
chrN00497:clu_28063_+	ENSFALG00000002576
chrN00510:clu_28090_-	ENSFALG00000009177
chrN00523:clu_28110_+	NA
chrN00523:clu_28116_-	NA
chrN00525:clu_28126_-	NA
chrN00550:clu_28157_+	NA
chrN00674:clu_28598_-	NA
chrN00697:clu_28259_+	NA
chrN00702:clu_28262_-	NA
chrN00702:clu_28263_-	NA
chrN00721:clu_28272_-	NA
chrN00750:clu_28305_-	ENSFALG00000002080
chrN00760:clu_28309_+	NA
chrN00820:clu_28616_+	NA
chrN00820:clu_28618_+	NA
chrN00871:clu_28346_+	NA
chrN00989:clu_28368_-	NA
chrN01058:clu_28376_+	NA
chrN01242:clu_28404_+	NA
chrN01242:clu_28406_+	NA
chrN01333:clu_28442_-	NA
